track_name,artist_name,preview,artist_genre
Don't Start Now,Dua Lipa,./data/Don't Start Now,"['dance pop', 'pop', 'uk pop']"
Overdrive,Conan Gray,./data/Overdrive,"['bedroom pop', 'pop']"
Every Angel is Terrifying,The Weeknd,./data/Every Angel is Terrifying,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,./data/Enemy (with JID) - from the series Arcane League of Legends,"['modern rock', 'rock']"
Sweet Melody,Little Mix,./data/Sweet Melody,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
Say So (feat. Nicki Minaj),Doja Cat,./data/Say So (feat. Nicki Minaj),"['dance pop', 'pop']"
Good In Bed,Dua Lipa,./data/Good In Bed,"['dance pop', 'pop', 'uk pop']"
drivers license,Olivia Rodrigo,./data/drivers license,['pop']
Beggin',Måneskin,./data/Beggin',"['indie rock italiano', 'italian pop']"
let you,iann dior,./data/let you,"['melodic rap', 'pop rap']"
Future Starts Now,Kim Petras,./data/Future Starts Now,"['art pop', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'transpop']"
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,./data/INDUSTRY BABY (feat. Jack Harlow),"['lgbtq+ hip hop', 'pop']"
test drive,Ariana Grande,./data/test drive,"['dance pop', 'pop']"
INFERNO,Sub Urban,./data/INFERNO,['modern indie pop']
Break My Heart,Dua Lipa,./data/Break My Heart,"['dance pop', 'pop', 'uk pop']"
Rain On Me (with Ariana Grande),Lady Gaga,./data/Rain On Me (with Ariana Grande),"['art pop', 'dance pop', 'pop']"
XS,Rina Sawayama,./data/XS,"['art pop', 'dance pop', 'electropop', 'escape room', 'pop']"
Harleys In Hawaii,Katy Perry,./data/Harleys In Hawaii,"['dance pop', 'pop', 'post-teen pop']"
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,./data/Better Days (NEIKED x Mae Muller x Polo G),['scandipop']
Better Now,Post Malone,./data/Better Now,"['dfw rap', 'melodic rap', 'rap']"
Talking to the Moon,Bruno Mars,./data/Talking to the Moon,"['dance pop', 'pop']"
Boss Bitch,Doja Cat,./data/Boss Bitch,"['dance pop', 'pop']"
Physical,Dua Lipa,./data/Physical,"['dance pop', 'pop', 'uk pop']"
traitor,Olivia Rodrigo,./data/traitor,['pop']
Good Vibes,HRVY,./data/Good Vibes,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house']"
STAY (with Justin Bieber),The Kid LAROI,./data/STAY (with Justin Bieber),['australian hip hop']
Ghost,Justin Bieber,./data/Ghost,"['canadian pop', 'pop']"
Yellow,Coldplay,./data/Yellow,"['permanent wave', 'pop']"
Lights Up,Harry Styles,./data/Lights Up,['pop']
Circles,Post Malone,./data/Circles,"['dfw rap', 'melodic rap', 'rap']"
Ungodly Hour,Chloe x Halle,./data/Ungodly Hour,"['alternative r&b', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']"
Love Again,Dua Lipa,./data/Love Again,"['dance pop', 'pop', 'uk pop']"
Woman,Doja Cat,./data/Woman,"['dance pop', 'pop']"
Into You,Ariana Grande,./data/Into You,"['dance pop', 'pop']"
Glad You Came,The Wanted,./data/Glad You Came,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']"
Who Knew,P!nk,./data/Who Knew,"['dance pop', 'pop']"
My House,Flo Rida,./data/My House,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
Hot N Cold,Katy Perry,./data/Hot N Cold,"['dance pop', 'pop', 'post-teen pop']"
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,./data/Peaches (feat. Daniel Caesar & Giveon),"['canadian pop', 'pop']"
Love Song,Sara Bareilles,./data/Love Song,"['acoustic pop', 'dance pop', 'lilith', 'neo mellow', 'pop', 'pop rock']"
Love You Like A Love Song,Selena Gomez & The Scene,./data/Love You Like A Love Song,"['dance pop', 'pop', 'post-teen pop', 'viral pop']"
Born This Way,Lady Gaga,./data/Born This Way,"['art pop', 'dance pop', 'pop']"
Die Young,Kesha,./data/Die Young,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
Piranha,Cartoon,./data/Piranha,['gaming edm']
Ride,Twenty One Pilots,./data/Ride,"['modern rock', 'rock']"
Closer,The Chainsmokers,./data/Closer,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
Side To Side,Ariana Grande,./data/Side To Side,"['dance pop', 'pop']"
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,./data/We Don't Talk Anymore (feat. Selena Gomez),"['dance pop', 'pop', 'viral pop']"
Heart Attack,Demi Lovato,./data/Heart Attack,"['dance pop', 'pop', 'post-teen pop']"
Leave with Me,Akif,./data/Leave with Me,[]
(You Drive Me) Crazy,Britney Spears,./data/(You Drive Me) Crazy,"['dance pop', 'pop', 'post-teen pop']"
That's My Girl,Fifth Harmony,./data/That's My Girl,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show']"
I Believe,Jonas Brothers,./data/I Believe,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
Believe,Mumford & Sons,./data/Believe,"['modern folk rock', 'modern rock', 'pop rock', 'stomp and holler', 'uk americana']"
Shake It Off,Taylor Swift,./data/Shake It Off,['pop']
Wake Me Up,Avicii,./data/Wake Me Up,"['dance pop', 'edm', 'pop', 'pop dance']"
New Rules,Dua Lipa,./data/New Rules,"['dance pop', 'pop', 'uk pop']"
Blinding Lights,Jacob Tillberg,./data/Blinding Lights,['gaming edm']
Attention,Charlie Puth,./data/Attention,"['dance pop', 'pop', 'viral pop']"
There's Nothing Holdin' Me Back,Shawn Mendes,./data/There's Nothing Holdin' Me Back,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
Flames,David Guetta,./data/Flames,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
Complicated,Avril Lavigne,./data/Complicated,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']"
Snow (Hey Oh),Red Hot Chili Peppers,./data/Snow (Hey Oh),"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
Like This,metr,./data/Like This,[]
Are You That Somebody?,Aaliyah,./data/Are You That Somebody?,"['contemporary r&b', 'dance pop', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
Run It!,Chris Brown,./data/Run It!,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
Something Just Like This,The Chainsmokers,./data/Something Just Like This,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
Perfect,Ed Sheeran,./data/Perfect,"['pop', 'uk pop']"
Feel It Still,Portugal. The Man,./data/Feel It Still,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']"
Mountain Valley (and Trey Songz),Peter Jackson,./data/Mountain Valley (and Trey Songz),[]
Brave,Sara Bareilles,./data/Brave,"['acoustic pop', 'dance pop', 'lilith', 'neo mellow', 'pop', 'pop rock']"
Ghost Boy,Jacob Tillberg,./data/Ghost Boy,['gaming edm']
Two Face,Jake Daniels,./data/Two Face,['alt z']
